Том,№,Субъект,,,Карта 27,Карта 28,Карта 29,Карта 30,Карта 31,Карта 32,Карта 33,Карта 34,Карта 35,Карта 36,Карта 37,Карта 38,Карта 39,Карта 40,Карта 41,Карта 42,Карта 43,Карта 44,Карта 45,Карта 46,Карта 47,Карта 48,Карта 49,Карта 50,Карта 51,Карта 52,Карта 53,Карта 54,Карта 55,Карта 56,Карта 57,Карта 58,Карта 59,Карта 60,Карта 61,Карта 62,Карта 63,Карта 64,Карта 65,Карта 66,Карта 67,Карта 68
2,106,16,с,Исенбаево,2,1,1,1,1,1,2,2,1,11,2,1,1,1,1,1,3,1,1,1,11,3,1,1,1,1,7,7,1,8,2,2,1,6,1,3,2,8,8,1,1,1
2,111,16,с,Ямурзино,2,1,1,1,1,1,2,2,1,11,2,1,1,1,1,1,3,1,1,1,11,3,1,1,1,1,7,7,1,1,2,2,1,6,1,3,2,8,8,1,1,1
2,104,16,с,Крынды,2,1,1,1,1,1,2,2,1,11,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,3,7,7,1,8,2,2,1,6,1,3,2,8,8,1,1,1
2,30,16,с,Янга-Аул,2,1,1,1,1,1,2,2,1,11,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,7,1,8,2,2,1,6,1,1,2,8,1,1,1,1
2,22,16,с,Биктово,2,1,1,1,1,1,2,2,1,11,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,2,1,8,2,2,1,6,1,1,2,8,8,1,1,1
2,24,16,с,Табарле,2,1,1,1,1,1,2,2,1,11,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,2,1,1,2,2,1,6,1,1,2,8,8,1,1,1
2,105,16,д,Тойгузино,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,1,1,1,2,2,1,1,1,1,2,3,1,1,1,1
2,107,16,с,Камаево,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,1,8,1,1,2,2,1,6,1,3,2,2,1,1,1,1
2,318,16,с,Салихово,1,1,9,1,1,1,1,1,1,11,3,1,1,1,4,10,1,1,1,1,1,1,1,2,3,1,8,8,1,1,3,1,6,1,2,1,1,8,1,1,1,1
2,320,16,с,Новые Чути,1,1,9,1,1,1,1,1,1,11,3,1,1,1,4,10,1,1,1,1,1,3,1,2,3,1,8,8,1,1,3,1,6,1,2,1,1,8,1,1,1,1
