Том,№,Субъект,,,Карта 1,Карта 2,Карта 3,Карта 4,Карта 5,Карта 6,Карта 7,Карта 8,Карта 9,Карта 10,Карта 11,Карта 12,Карта 13,Карта 14,Карта 15,Карта 16,Карта 17,Карта 18,Карта 19,Карта 20,Карта 21,Карта 22,Карта 23,Карта 24,Карта 25,Карта 26
1,240,16,с,Старое Ямкино,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,3,7,1,1,1,1
1,154,16,с,Сухие Курнали,2,4,2,1,1,1,2,1,1,1,1,1,1,1,1,11,1,2,1,4,12,10,1,1,2,2
1,233,16,с,Новые Челны,2,1,2,1,1,1,8,1,1,1,1,1,1,1,1,1,1,2,1,4,12,13,1,1,3,2
1,239,16,с,Нижнее Алькеево,1,1,2,1,1,1,8,1,1,1,1,1,1,1,1,1,1,2,1,4,3,7,1,1,1,1
1,244,16,с,Татарское Ахметьево,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,13,1,1,3,1
1,128,16,с,Каргополь,2,1,2,1,1,1,8,1,1,1,1,1,1,1,1,11,1,2,1,4,12,10,1,1,2,1
1,220,16,с,Тяжбердино,2,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,2,1,11,3,7,1,1,3,1
1,223,16,с,Татарское Бурнаево,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,8,1
1,217,16,с,Ямбухтино,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,2,1,4,1,1,1,1,8,1
1,219,16,с,Старые Салманы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,11,11,2,1,11,1,1,1,1,8,1
1,222,16,с,Татарское Тюгульбаево,1,1,2,1,1,3,9,1,1,1,1,1,1,1,1,11,1,2,1,4,12,10,1,1,3,1
1,218,16,с,Татарская Тахтала,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,11,1,2,1,4,12,10,1,1,3,1
1,126,16,с,Измери,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,3,1,4,1,1,1,1,8,1
1,124,16,с,Ташкирмень,2,1,1,1,6,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,221,16,с,Средний Юрткуль,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,2,1,1,1,1,1,1,8,1
1,127,16,д,Мордовский Каратай,2,1,2,1,1,2,2,1,1,1,1,11,1,1,1,2,1,2,1,7,12,10,1,1,1,1
1,125,16,с,Большие Кармалы,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,2,1,1,1,1,1,1,1,1
1,94,16,д,Азимово-Курлебаш,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,2,1,1,1,1,1,1,1,1
1,98,16,,Большие Янгасала,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,2,1,1,1,1,1,1,1,1
1,102,16,с,Балтачево,1,1,1,1,1,1,8,7,1,1,1,1,1,1,1,11,1,2,1,1,1,1,1,1,8,1
1,97,16,с,Большие Болгояры,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1,104,16,с,Большие Атряси,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,2,1,1,1,1,1,1,1,1
1,106,16,с,Большая Турма,1,1,1,1,1,1,1,7,1,1,1,2,1,1,3,11,1,2,1,1,6,6,1,1,8,1
1,93,16,с,Старое Барышево,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,2,1,1,1,1,1,1,1,1
1,96,16,с,Чуру-Барышево,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1,212,16,с,Татарская Беденьга,1,1,1,1,1,1,1,7,1,1,1,2,1,1,1,1,1,2,1,1,12,10,1,1,8,1
1,209,16,д,Большая Карланга,1,1,1,1,1,1,8,7,1,1,1,2,1,1,1,1,1,2,1,1,12,10,1,1,8,1
1,41,16,с,Большой Сардек,1,1,1,1,1,1,1,7,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,92,16,с,Шамбулыхчы,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,2,1,1,1,6,1,1,8,1
2,26,16,д,Чишма,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,11,1,1,1,4,6,6,2,2,1,1
1,100,16,с,Деушево,1,1,1,1,1,2,2,1,1,1,1,9,1,1,1,1,1,2,1,1,12,13,1,1,1,1
1,103,16,с,Черки-Кильдуразы,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,3,1,1,12,10,1,1,8,1
1,210,16,с,Старый Студенец,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,12,10,1,1,3,2
1,213,16,с,Сюндюково,1,1,1,1,1,1,1,7,1,1,1,2,1,1,1,1,1,2,1,1,12,10,1,1,8,1
1,211,16,с,Старые Тинчали,2,1,2,1,1,3,8,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,3,2
1,95,16,с,Бакрче,1,1,1,1,1,4,2,1,1,1,1,1,1,1,2,1,1,2,1,1,12,10,1,1,8,1
1,99,16,д,Бик-Утеево,1,1,1,1,1,4,2,1,1,1,1,9,1,1,1,1,1,3,1,1,12,10,1,1,8,1
1,105,16,с,Верхние Лащи,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,12,10,1,1,8,1
1,160,16,с,Нижний Шандер,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,161,16,с,Куюк Ерыкса,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,163,16,с,Крещеный Пакшин,2,2,1,1,1,1,1,2,1,3,7,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,162,16,с,Верхняя Ошма,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,159,16,с,Нижний Таканыш,1,1,1,1,6,1,1,7,1,3,1,1,1,2,2,11,1,1,1,1,1,1,2,1,1,1
1,162а,16,с,Средние Кирмени,0,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,164,16,с,Уразбахты// Татарский Омар,1,1,1,1,1,1,1,7,1,3,7,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,143,16,д,Тяберлины Челны,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,136,16,с,Янцевары,2,5,1,1,1,1,1,2,1,1,1,1,1,1,2,11,1,1,1,7,1,1,2,1,1,1
1,129,16,c,Большие Кибя-Кози,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,132,16,c,Кукча,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,134,16,с,Ишкеево,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,140,16,с,Верхняя Сунь,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,144,16,с,Нижняя Сунь,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,54,16,с,Ятмас Дусай,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,131,16,с,Татарская Икшурма,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,138,16,с,Албай,2,1,1,1,6,1,1,2,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,135,16,с,Тюбяк,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,139,16,с,Шеморбаш,3,1,1,1,6,1,1,2,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,142,16,с,Козяково-Челны,3,5,1,1,6,1,1,2,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,43,16,с,Ядыгерь,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,130,16,с,Сатышево,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,133,16,c,Баландыш,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,137,16,c,Субаш,2,5,1,1,6,1,1,2,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,141,16,с,Новый Арыш,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,243,16,с,Новое Узеево,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,11,1,2,1,2,12,10,1,1,2,2
1,151,16,,Тубулга,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,11,1,2,1,2,12,10,1,1,2,2
1,156,16,с,Татарский Елтан,2,4,1,1,1,2,2,1,1,1,1,1,1,1,1,11,1,2,1,2,12,10,1,1,2,2
1,234,16,с,Старая Киреметь,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,238,16,с,Новое Демкино,2,4,2,1,1,2,8,1,1,1,1,1,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,242,16,с,Сунчелеево,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,11,1,2,1,3,12,10,1,1,3,2
1,152,16,с,Муслюмкино,2,4,1,1,1,3,9,1,1,1,1,1,1,1,1,11,1,1,1,2,12,10,1,1,2,2
1,155,16,с,Акбулатово,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,12,1,1,1,1,1
1,158,16,,Ст.Татар. Адам,2,4,2,1,1,4,2,1,1,1,1,1,1,2,1,1,1,2,1,11,12,10,1,1,2,2
1,157,16,с,Верхняя Татарская Майна,2,4,2,1,1,4,2,1,1,1,1,1,1,2,1,11,1,2,1,2,12,10,1,1,2,2
1,237,16,с,Новая Амзя,2,4,2,1,1,4,9,1,1,1,1,1,1,1,1,11,1,2,1,3,12,10,1,1,2,2
1,148,16,с,Степная Шентала,2,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,2,1,4,1,7,1,1,3,2
1,150,16,с,Кутлушкино,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,236,16,с,Кульбаево-Мараса,2,4,2,1,1,1,8,1,1,1,1,1,1,1,1,11,1,3,1,2,12,10,1,1,2,2
1,241,16,с,Кичкальня,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,11,1,2,1,4,12,10,1,1,3,2
